date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19450716,1945,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0,0,-0.1,21,21,WEAPONS DEVELOPMENT PROGRAM,TRINITY,TOWER
19450805,1945,45002,USA,HIROSHIMA,DOE,34.23,132.27,0,0,-0.6,15,15,COMBAT,LITTLEBOY,AIRDROP
19450809,1945,45003,USA,NAGASAKI,DOE,32.45,129.52,0,0,-0.6,21,21,COMBAT,FATMAN,AIRDROP
19460630,1946,46001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.2,21,21,BRITISH/FRENCH/US NUCLEAR STUDY,ABLE,AIRDROP
19460724,1946,46002,USA,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,BRITISH/FRENCH/US NUCLEAR STUDY,BAKER,UNDERWATER
19480414,1948,48001,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,37,37,WEAPONS DEVELOPMENT PROGRAM,X-RAY,TOWER
19480430,1948,48002,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,49,49,WEAPONS DEVELOPMENT PROGRAM,YOKE,TOWER
19480514,1948,48003,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,18,18,WEAPONS DEVELOPMENT PROGRAM,ZEBRA,TOWER
19490829,1949,49001,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19510127,1951,51001,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WEAPONS DEVELOPMENT PROGRAM,ABLE,AIRDROP
19510128,1951,51002,USA,NTS,DOE,37,-116,0,0,-0.35,8,8,WEAPONS DEVELOPMENT PROGRAM,BAKER,AIRDROP
19510201,1951,51003,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WEAPONS DEVELOPMENT PROGRAM,EASY,AIRDROP
19510202,1951,51004,USA,NTS,DOE,37,-116,0,0,-0.4,8,8,WEAPONS DEVELOPMENT PROGRAM,BAKER2,AIRDROP
19510206,1951,51005,USA,NTS,DOE,37,-116,0,0,-0.5,22,22,WEAPONS DEVELOPMENT PROGRAM,FOX,AIRDROP
19510407,1951,51006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,81,81,WEAPONS DEVELOPMENT PROGRAM,DOG,TOWER
19510420,1951,51007,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,47,47,WEAPONS DEVELOPMENT PROGRAM,EASY,TOWER
19510508,1951,51008,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,225,225,WEAPONS DEVELOPMENT PROGRAM,GEORGE,TOWER
19510524,1951,51009,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,45.5,45.5,WEAPONS DEVELOPMENT PROGRAM,ITEM,TOWER
19510924,1951,51010,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WEAPONS DEVELOPMENT PROGRAM,NA,SURFACE
19511018,1951,51011,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WEAPONS DEVELOPMENT PROGRAM,NA,AIRDROP
19511022,1951,51012,USA,NTS,DOE,37,-116,0,0,-0.03,0,0.1,WEAPONS DEVELOPMENT PROGRAM,ABLE,TOWER
19511028,1951,51013,USA,NTS,DOE,37,-116,0,0,-0.4,3.5,3.5,WEAPONS DEVELOPMENT PROGRAM,BAKER,AIRDROP
19511030,1951,51014,USA,NTS,DOE,37,-116,0,0,-0.4,14,14,WEAPONS DEVELOPMENT PROGRAM,CHARLIE,AIRDROP
19511101,1951,51015,USA,NTS,DOE,37,-116,0,0,-0.5,21,21,WEAPONS DEVELOPMENT PROGRAM,DOG,AIRDROP
19511105,1951,51016,USA,NTS,DOE,37,-116,0,0,-0.45,31,31,WEAPONS DEVELOPMENT PROGRAM,EASY,AIRDROP
19511119,1951,51017,USA,NTS,DOE,37,-116,0,0,-0.001,1.2,1.2,BRITISH/FRENCH/US NUCLEAR STUDY,SUGAR,SURFACE
19511129,1951,51018,USA,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,BRITISH/FRENCH/US NUCLEAR STUDY,UNCLE,CRATER
19520401,1952,52001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,BRITISH/FRENCH/US NUCLEAR STUDY,ABLE,AIRDROP
19520415,1952,52002,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,BRITISH/FRENCH/US NUCLEAR STUDY,BAKER,AIRDROP
19520422,1952,52003,USA,NTS,DOE,37,-116,0,0,-1.15,31,31,WEAPONS DEVELOPMENT PROGRAM,CHARLIE,AIRDROP
19520501,1952,52004,USA,NTS,DOE,37,-116,0,0,-0.35,19,19,WEAPONS DEVELOPMENT PROGRAM,DOG,AIRDROP
